dataset,dataset_family,t,gt_source_id,gt_target_id,pred_source_id,pred_target_id,source_detected,target_detected,candidate_recorded,candidate_present,ilp_selected,final_pair_present,final_correct,cause,blended_logit,blended_prob,seed1_logit,seed2_logit,seed1_prob,seed2_prob,source_rank,target_rank,rank_censored,best_competing_source_id,best_competing_prob,competitor_margin,local_density_pred,density_radius_um,source_in_final,target_in_final,bucket,recoverability,conflict,gated_out_from_source,gated_in_to_target,gt_is_source_top1,source_has_wrong_gated_child,source_has_no_gated_child,selected_out,selected_in,best_gated_outgoing_target,best_gated_outgoing_prob,rematch_shares_conflict_node
44b6_12dfb391,44b6,39,145000000075,146000000075,18845.0,19431.0,True,True,True,False,False,False,False,scorer_ranking,-2.070814609527588,0.0303803365677595,-1.381441354751587,-2.760188102722168,0.0568410530686378,0.015879763290286,2,2,False,18899.0,0.959975004196167,0.9295946676284076,8,15.0,True,True,ranking_below_gate,needs_ranking_or_lower_gate,both_taken,1,1,False,True,False,19364,18899,19364.0,0.9059005379676819,False
44b6_12dfb391,44b6,44,150000000073,151000000073,21587.0,22111.0,True,True,True,True,True,True,False,postprocessing_rematch,1.5483965873718262,0.9637221693992616,1.4977482557296753,1.5990450382232666,0.9421799778938292,0.972291111946106,1,1,False,21587.0,0.9637221693992616,0.0,7,15.0,True,True,postprocessing_rematch,needs_identity_repair,gt_selected,1,1,True,False,False,22111,21587,22111.0,0.9637221693992615,True
44b6_12dfb391,44b6,45,151000000073,152000000073,22111.0,22604.0,True,True,True,True,False,False,False,ilp_global,-0.2675606608390808,0.5336359143257141,0.4045684039592743,-0.9396897554397584,0.6477533578872681,0.3697960674762726,2,1,False,22111.0,0.5336359143257141,0.0,9,15.0,True,True,ilp_global,ilp_contention_repair,source_taken,2,1,False,True,False,22622,,22622.0,0.9444718360900879,False
44b6_12dfb391,44b6,48,154000000045,155000000045,23506.0,24053.0,True,True,True,True,False,False,False,scorer_ranking,1.1941640377044678,0.4617783427238464,1.4014326333999634,0.9868955612182616,0.5089337825775146,0.4107528626918793,1,2,False,23528.0,0.5140969753265381,0.0523186326026916,8,15.0,True,True,ranking_gated,ilp_override_rank2,target_taken,1,2,True,False,False,,23528,24053.0,0.46177834272384644,False
44b6_12dfb391,44b6,50,156000000073,157000000073,24703.0,25215.0,True,True,True,False,False,False,False,scorer_ranking,-0.6607894897460938,0.3084370195865631,0.0667216330766677,-1.3883006572723389,0.3713633418083191,0.2339672148227691,2,2,False,24668.0,0.4948530197143554,0.1864160001277923,13,15.0,True,True,ranking_below_gate,needs_ranking_or_lower_gate,both_taken,1,1,False,True,False,25245,24668,25245.0,0.9193417429924011,False
44b6_12dfb391,44b6,58,164000000072,165000000072,28863.0,29379.0,True,True,True,True,False,False,False,ilp_global,-0.3777306973934173,0.6234642267227173,-0.3303157985210418,-0.4251455962657928,0.5472862124443054,0.6189872622489929,2,1,False,28863.0,0.6234642267227173,0.0,10,15.0,True,True,ilp_global,ilp_contention_repair,source_taken,2,1,False,True,False,29367,,29367.0,0.9307484030723572,False
44b6_12dfb391,44b6,63,169000000042,170000000042,31394.0,31902.0,True,True,True,False,False,False,False,scorer_ranking,-1.4898157119750977,0.0412021614611148,-0.7907119989395142,-2.188919305801392,0.0731796473264694,0.0222964193671941,2,3,False,31363.0,0.8422219157218933,0.8010197542607784,9,15.0,True,True,ranking_below_gate,needs_ranking_or_lower_gate,target_taken,0,1,False,False,True,,31363,,,False
44b6_12dfb391,44b6,67,173000000050,174000000051,33771.0,34273.0,True,True,True,False,False,False,False,scorer_ranking,1.1873486042022705,0.3687443137168884,1.4256329536437988,0.9490642547607422,0.403226226568222,0.3153086006641388,1,2,False,33733.0,0.428050696849823,0.0593063831329345,15,15.0,True,True,ranking_below_gate,admit_source_top1,target_taken,0,1,True,False,True,,33733,,,False
44b6_12dfb391,44b6,68,174000000038,175000000038,34152.0,34678.0,True,True,True,True,True,True,False,postprocessing_rematch,1.1544749736785889,0.4916833639144897,1.3121565580368042,0.996793270111084,0.4978756308555603,0.4755754172801971,1,1,False,34152.0,0.4916833639144897,0.0,8,15.0,True,True,postprocessing_rematch,needs_identity_repair,gt_selected,1,1,True,False,False,34678,34152,34678.0,0.49168336391448975,False
44b6_12dfb391,44b6,76,182000000071,183000000071,38372.0,,True,False,False,False,False,False,False,detection_miss,,,,,,,17,17,True,,,,8,15.0,True,False,detection_miss,needs_detection,unknown,0,0,False,False,False,,,,,False
44b6_12dfb391,44b6,80,186000000038,187000000038,40719.0,41269.0,True,True,True,False,False,False,False,scorer_ranking,-0.3764335513114929,0.1145364791154861,0.2415879070758819,-0.9944549798965454,0.1588727682828903,0.0794161781668663,2,3,False,40687.0,0.6142140030860901,0.4996775239706039,7,15.0,True,True,ranking_below_gate,needs_ranking_or_lower_gate,both_taken,1,1,False,True,False,41288,40687,41288.0,0.42372381687164307,False
44b6_12dfb391,44b6,80,186000000051,187000000050,40856.0,41374.0,True,True,True,False,False,False,False,scorer_ranking,0.430164635181427,0.2487276345491409,0.6358455419540405,0.2244837582111358,0.2344313710927963,0.2605451345443725,1,2,False,40820.0,0.6938844919204712,0.4451568573713302,13,15.0,True,True,ranking_below_gate,admit_source_top1,target_taken,0,1,True,False,True,,40820,,,False
44b6_12dfb391,44b6,82,188000000042,189000000042,41767.0,42265.0,True,True,True,False,False,False,False,scorer_ranking,-1.5975749492645264,0.0440006889402866,-1.210395574569702,-1.98475444316864,0.0510515011847019,0.0372291840612888,3,2,False,41726.0,0.9304580688476562,0.8864573799073696,8,15.0,True,True,ranking_below_gate,needs_ranking_or_lower_gate,both_taken,1,1,False,True,False,42301,41726,42301.0,0.6748014688491821,False
44b6_12dfb391,44b6,84,190000000041,191000000041,42788.0,43370.0,True,True,True,False,False,False,False,scorer_ranking,-2.338473320007324,0.0201101452112197,-2.0968539714813232,-2.580092430114746,0.0244786776602268,0.0159027688205242,5,3,False,42834.0,0.9166778326034546,0.8965676873922348,11,15.0,True,True,ranking_below_gate,needs_ranking_or_lower_gate,both_taken,1,1,False,True,False,43336,42834,43336.0,0.9095317721366882,False
44b6_12dfb391,44b6,87,193000000048,194000000048,44664.0,45188.0,True,True,True,False,False,False,False,scorer_ranking,-0.2813000679016113,0.2676653265953064,0.2286308705806732,-0.7912310361862183,0.3207898736000061,0.1486229002475738,1,2,False,44652.0,0.4923042356967926,0.2246389091014862,6,15.0,True,True,ranking_below_gate,admit_source_top1,target_taken,0,1,True,False,True,,44652,,,False
44b6_12dfb391,44b6,97,203000000038,204000000038,50069.0,,True,False,False,False,False,False,False,detection_miss,,,,,,,17,17,True,,,,3,15.0,True,False,detection_miss,needs_detection,unknown,0,0,False,False,False,,,,,False
44b6_12dfb391,44b6,98,204000000038,205000000038,,51183.0,False,True,False,False,False,False,False,detection_miss,,,,,,,17,17,True,,,,3,15.0,False,True,detection_miss,needs_detection,unknown,0,0,False,False,False,,,,,False
